76,2022_12_13__163703_269,user,0,1,map_state_2022_12_13__163703_260.ini
77,2022_12_13__163820_537,user,0,1,map_state_2022_12_13__163820_521.ini
78,2022_12_13__163823_268,user,0,1,map_state_2022_12_13__163823_260.ini
79,2022_12_13__163824_506,user,0,1,map_state_2022_12_13__163824_497.ini
80,2022_12_13__163826_106,user,0,1,map_state_2022_12_13__163826_093.ini
81,2022_12_13__163830_108,user,0,1,map_state_2022_12_13__163830_094.ini
82,2022_12_13__163832_281,user,0,1,map_state_2022_12_13__163832_264.ini
83,2022_12_13__163832_310,user,0,1,map_state_2022_12_13__163832_296.ini
84,2022_12_13__163832_453,user,0,1,map_state_2022_12_13__163832_446.ini
85,2022_12_13__163836_001,user,0,1,map_state_2022_12_13__163835_981.ini
86,2022_12_13__163836_037,user,0,1,map_state_2022_12_13__163836_019.ini
87,2022_12_13__163838_179,user,0,1,map_state_2022_12_13__163838_169.ini
88,2022_12_13__163838_195,user,0,1,map_state_2022_12_13__163838_187.ini
89,2022_12_13__163838_338,user,0,1,map_state_2022_12_13__163838_331.ini
90,2022_12_13__163901_462,user,0,1,map_state_2022_12_13__163901_448.ini
91,2022_12_13__163938_970,user,0,1,map_state_2022_12_13__163938_964.ini
92,2022_12_13__164040_516,user,0,1,map_state_2022_12_13__164040_503.ini
93,2022_12_13__164044_057,user,0,1,map_state_2022_12_13__164044_043.ini
94,2022_12_13__164117_482,user,0,1,map_state_2022_12_13__164117_469.ini
95,2022_12_13__164117_850,user,0,1,map_state_2022_12_13__164117_836.ini
96,2022_12_13__164127_213,user,0,1,map_state_2022_12_13__164127_200.ini
97,2022_12_13__164131_679,user,0,1,map_state_2022_12_13__164131_666.ini
98,2022_12_13__164141_523,user,0,1,map_state_2022_12_13__164141_514.ini
99,2022_12_13__164214_199,user,0,1,map_state_2022_12_13__164214_193.ini
100,2022_12_13__164217_474,user,0,1,map_state_2022_12_13__164217_466.ini
101,2022_12_13__164228_099,user,0,1,map_state_2022_12_13__164228_093.ini
102,2022_12_13__164230_102,user,0,1,map_state_2022_12_13__164230_089.ini
103,2022_12_13__164232_593,user,0,1,map_state_2022_12_13__164232_588.ini
