16.12.2022 13:10:28, user, 1, 0, "Paired beacons angle visible", enabled, disabled
16.12.2022 13:10:58, user, 1, 0, "Service zones visible", disabled, enabled
16.12.2022 13:10:58, user, 1, 0, "Service zones active", disabled, enabled
16.12.2022 13:10:59, user, 1, 1, "Rotation, degrees", 0.0, 48.0
16.12.2022 13:11:31, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:11:37, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:11:40, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:11:41, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:11:42, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:11:43, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:11:51, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:11:53, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:03, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:04, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:07, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:09, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:10, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:12, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:19, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:20, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:27, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:28, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:34, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:35, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:40, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:41, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:45, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:46, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:49, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:50, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:12:53, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:12:55, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:13:01, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:13:04, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 13:13:06, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 13:13:07, user, 1, 1, "Rotation, degrees", 176.0, 48.0
