21.02.2023 13:53:31, user, 1, 0, "Paired beacons angle visible", enabled, disabled
21.02.2023 13:54:37, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
21.02.2023 13:54:37, user, 1, 1, "Extrapolation", enabled, disabled
21.02.2023 13:54:37, user, 1, 0, "Service zones visible", disabled, enabled
21.02.2023 13:54:37, user, 1, 0, "Service zones active", disabled, enabled
21.02.2023 13:54:37, user, 1, 1, "Samples number (1..10)", 3, 0
21.02.2023 13:54:37, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
21.02.2023 13:54:37, user, 1, 1, "Window of averaging (0..16)", 0, 4
21.02.2023 13:54:37, user, 1, 1, "Distance filter (0..16)", 8, 0
21.02.2023 13:54:37, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
21.02.2023 13:54:37, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
21.02.2023 13:54:37, user, 1, 1, "Jitter area, % (0..50)", 25, 0
21.02.2023 13:54:37, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
21.02.2023 13:54:39, user, 1, 1, "Rotation, degrees", 0.0, 48.0
21.02.2023 13:54:42, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:54:43, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:54:45, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:54:47, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:54:49, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:54:50, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:54:53, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:54:55, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:54:57, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:54:58, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:01, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:02, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:07, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:08, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:10, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:12, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:16, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:17, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:19, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:20, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:22, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:24, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:31, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:32, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:35, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:36, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:45, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:46, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:47, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:50, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:55:56, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:55:57, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:56:12, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:56:13, user, 1, 1, "Rotation, degrees", 176.0, 48.0
21.02.2023 13:56:17, user, 1, 1, "Rotation, degrees", 48.0, 176.0
21.02.2023 13:56:18, user, 1, 1, "Rotation, degrees", 176.0, 48.0
