03.04.2023 11:04:00, user, 1, 0, "Paired beacons angle visible", enabled, disabled
03.04.2023 11:04:03, user, 1, 1, "Rotation, degrees", 0.0, 176.0
03.04.2023 11:04:03, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
03.04.2023 11:04:03, user, 1, 1, "Extrapolation", enabled, disabled
03.04.2023 11:04:03, user, 1, 0, "Service zones visible", disabled, enabled
03.04.2023 11:04:03, user, 1, 0, "Service zones active", disabled, enabled
03.04.2023 11:04:03, user, 1, 1, "Samples number (1..10)", 3, 0
03.04.2023 11:04:03, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
03.04.2023 11:04:03, user, 1, 1, "Window of averaging (0..16)", 0, 4
03.04.2023 11:04:03, user, 1, 1, "Distance filter (0..16)", 8, 0
03.04.2023 11:04:03, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
03.04.2023 11:04:03, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
03.04.2023 11:04:03, user, 1, 1, "Jitter area, % (0..50)", 25, 0
03.04.2023 11:04:03, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
03.04.2023 11:04:11, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:04:12, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 11:04:21, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:04:22, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 11:04:23, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:04:25, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 11:04:26, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:04:28, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 11:04:49, user, 10, 6, device sleep, 
03.04.2023 11:04:51, user, 11, 6, device wake, 
03.04.2023 11:05:37, user, 1, 6, "Ultrasonic frequency, Hz (100..65000)", 25000, 50000
03.04.2023 11:08:45, user, 1, 6, "UART speed, bps", 9600, 19200
03.04.2023 11:08:45, user, 1, 6, "UART speed, bps", 19200, 38400
03.04.2023 11:08:46, user, 1, 6, "UART speed, bps", 38400, 57600
03.04.2023 11:08:46, user, 1, 6, "UART speed, bps", 57600, 115200
03.04.2023 11:08:47, user, 1, 6, "UART speed, bps", 115200, 500000
03.04.2023 11:08:58, user, 1, 6, "UART speed, bps", 500000, 4800
03.04.2023 11:08:58, user, 1, 6, "UART speed, bps", 4800, 9600
03.04.2023 11:09:16, user, 11, 5, device wake, 
03.04.2023 11:09:30, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:09:36, user, 10, 6, device sleep, 
03.04.2023 11:09:37, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 11:09:44, user, 11, 6, device wake, 
03.04.2023 11:09:58, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:09:59, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 11:10:06, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:10:09, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 11:10:12, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 11:10:14, user, 1, 1, "Rotation, degrees", 48.0, 176.0
