16.12.2022 11:10:02, user, 1, 0, "Paired beacons angle visible", enabled, disabled
16/12/2022 11:15:44, user, 12, 2, device default, 
16/12/2022 11:16:53, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
16/12/2022 11:16:53, user, 1, 1, "Extrapolation", enabled, disabled
16/12/2022 11:16:53, user, 1, 0, "Service zones visible", disabled, enabled
16/12/2022 11:16:53, user, 1, 0, "Service zones active", disabled, enabled
16/12/2022 11:16:53, user, 1, 1, "Samples number (1..10)", 3, 0
16/12/2022 11:16:53, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
16/12/2022 11:16:53, user, 1, 1, "Window of averaging (0..16)", 0, 4
16/12/2022 11:16:53, user, 1, 1, "Distance filter (0..16)", 8, 0
16/12/2022 11:16:53, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
16/12/2022 11:16:53, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
16/12/2022 11:16:53, user, 1, 1, "Jitter area, % (0..50)", 25, 0
16/12/2022 11:16:53, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
16/12/2022 11:16:54, user, 1, 1, "Rotation, degrees", 0.0, 176.0
16/12/2022 11:16:55, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:17:38, user, 1, 5, "Hedgehog mode", disabled, enabled
16/12/2022 11:17:42, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:21:28, user, 2, 0, map freeze, 1
16/12/2022 11:21:30, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:21:31, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:21:32, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:21:35, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:21:37, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:21:43, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:21:44, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:21:48, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:21:50, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:21:54, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:21:55, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:22:23, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:22:24, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:22:37, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:22:39, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:22:42, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:22:44, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:22:54, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:22:55, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:22:56, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:22:57, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:22:58, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:23:00, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:23:06, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16/12/2022 11:23:07, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16/12/2022 11:23:08, user, 1, 1, "Rotation, degrees", 48.0, 176.0
