03.04.2023 09:13:35, user, 1, 0, "Paired beacons angle visible", enabled, disabled
03.04.2023 09:13:40, user, 1, 1, "Rotation, degrees", 0.0, 176.0
03.04.2023 09:13:40, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
03.04.2023 09:13:40, user, 1, 1, "Extrapolation", enabled, disabled
03.04.2023 09:13:40, user, 1, 0, "Service zones visible", disabled, enabled
03.04.2023 09:13:40, user, 1, 0, "Service zones active", disabled, enabled
03.04.2023 09:13:40, user, 1, 1, "Samples number (1..10)", 3, 0
03.04.2023 09:13:40, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
03.04.2023 09:13:40, user, 1, 1, "Window of averaging (0..16)", 0, 4
03.04.2023 09:13:40, user, 1, 1, "Distance filter (0..16)", 8, 0
03.04.2023 09:13:40, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
03.04.2023 09:13:40, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
03.04.2023 09:13:40, user, 1, 1, "Jitter area, % (0..50)", 25, 0
03.04.2023 09:13:40, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
03.04.2023 09:13:41, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:13:45, user, 10, 5, device sleep, 
03.04.2023 09:13:46, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:14:42, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:14:55, user, 3, 0, submap freeze, 0
03.04.2023 09:14:55, user, 2, 0, map freeze, 0
03.04.2023 09:15:00, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:01, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:08, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:09, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:11, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:13, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:14, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:15, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:17, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:19, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:26, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:27, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:29, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:29, user, 15, 4, position setup, 9.387,0.000,2.220
03.04.2023 09:15:33, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:35, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:38, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:42, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:48, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:15:52, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:15:59, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:16:02, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:16:05, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:16:08, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:16:12, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:16:14, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:16:15, user, 1, 1, "Rotation, degrees", 176.0, 48.0
03.04.2023 09:16:22, user, 1, 1, "Rotation, degrees", 48.0, 176.0
03.04.2023 09:16:22, user, 15, 1, position setup, 9.387,-3.685,2.220
03.04.2023 09:16:26, user, 1, 1, "Rotation, degrees", 176.0, 48.0
