31.03.2023 08:47:06, user, 1, 0, "Paired beacons angle visible", enabled, disabled
31.03.2023 08:47:44, user, 1, 1, "Rotation, degrees", 0.0, 176.0
31.03.2023 08:47:44, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
31.03.2023 08:47:44, user, 1, 1, "Extrapolation", enabled, disabled
31.03.2023 08:47:44, user, 1, 0, "Service zones visible", disabled, enabled
31.03.2023 08:47:44, user, 1, 0, "Service zones active", disabled, enabled
31.03.2023 08:47:44, user, 1, 1, "Samples number (1..10)", 3, 0
31.03.2023 08:47:44, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
31.03.2023 08:47:44, user, 1, 1, "Window of averaging (0..16)", 0, 4
31.03.2023 08:47:44, user, 1, 1, "Distance filter (0..16)", 8, 0
31.03.2023 08:47:44, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
31.03.2023 08:47:44, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
31.03.2023 08:47:44, user, 1, 1, "Jitter area, % (0..50)", 25, 0
31.03.2023 08:47:44, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
31.03.2023 08:47:47, user, 1, 1, "Rotation, degrees", 176.0, 48.0
31.03.2023 08:49:50, user, 18, 1, add submap, 
31.03.2023 08:49:50, user, 1, 0, "1D/2D/3D", 1D, none (no beacons)
31.03.2023 08:50:11, user, 17, 1, remove from submap, 0
31.03.2023 08:50:13, user, 1, 1, "Rotation, degrees", 48.0, 176.0
31.03.2023 08:50:14, user, 1, 1, "Rotation, degrees", 176.0, 48.0
31.03.2023 08:50:16, user, 1, 1, "Rotation, degrees", 48.0, 176.0
31.03.2023 08:50:18, user, 1, 1, "Rotation, degrees", 176.0, 48.0
31.03.2023 08:50:20, user, 17, 4, remove from submap, 0
31.03.2023 08:50:21, user, 1, 0, "1D/2D/3D", none (no beacons), 2D
31.03.2023 08:50:21, user, 1, 1, "Rotation, degrees", 48.0, 176.0
31.03.2023 08:50:33, user, 1, 1, "Rotation, degrees", 176.0, 48.0
31.03.2023 08:50:34, user, 1, 1, "Rotation, degrees", 48.0, 176.0
31.03.2023 08:50:36, user, 1, 1, "Rotation, degrees", 176.0, 48.0
31.03.2023 08:50:38, user, 1, 1, "Rotation, degrees", 48.0, 176.0
31.03.2023 08:50:40, user, 1, 1, "Rotation, degrees", 176.0, 48.0
31.03.2023 08:50:41, user, 1, 1, "Rotation, degrees", 48.0, 176.0
31.03.2023 08:50:42, user, 3, 1, submap freeze, 1
31.03.2023 08:50:43, user, 1, 1, "Rotation, degrees", 176.0, 48.0
31.03.2023 08:50:43, user, 2, 0, map freeze, 0
31.03.2023 08:51:27, user, 18, 2, add submap, 
