16.12.2022 09:52:54, user, 1, 0, "Paired beacons angle visible", enabled, disabled
16.12.2022 09:52:58, user, 1, 1, "Rotation, degrees", 0.0, 176.0
16.12.2022 09:52:58, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
16.12.2022 09:52:58, user, 1, 1, "Extrapolation", enabled, disabled
16.12.2022 09:52:58, user, 1, 0, "Service zones visible", disabled, enabled
16.12.2022 09:52:58, user, 1, 0, "Service zones active", disabled, enabled
16.12.2022 09:52:58, user, 1, 1, "Samples number (1..10)", 3, 0
16.12.2022 09:52:58, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
16.12.2022 09:52:58, user, 1, 1, "Window of averaging (0..16)", 0, 4
16.12.2022 09:52:58, user, 1, 1, "Distance filter (0..16)", 8, 0
16.12.2022 09:52:58, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
16.12.2022 09:52:58, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
16.12.2022 09:52:58, user, 1, 1, "Jitter area, % (0..50)", 25, 0
16.12.2022 09:52:58, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
16.12.2022 09:53:02, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 09:53:03, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 09:53:05, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 09:53:06, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 09:53:17, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 09:53:18, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 09:53:22, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 09:53:23, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 09:53:26, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 09:53:27, user, 1, 0, "1D/2D/3D", 1D, none (no beacons)
16.12.2022 09:53:28, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 09:53:33, user, 1, 1, "Rotation, degrees", 176.0, 48.0
16.12.2022 09:53:37, user, 1, 1, "Rotation, degrees", 48.0, 176.0
16.12.2022 09:53:37, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 351.00, 352.00
16.12.2022 09:53:37, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 352.00, 353.00
16.12.2022 09:53:38, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 353.00, 352.00
16.12.2022 09:53:38, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 352.00, 351.00
16.12.2022 09:53:38, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 351.00, 350.00
16.12.2022 09:53:38, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 350.00, 349.00
