1671026698726,80133,2553995,2,0.000,-3.685,2.220,255,0,0,0,0
1671026698726,0,2553995,1,9.387,-3.685,2.220,255,0,0,0,0
1671026698826,100,2554095,3,0.001,0.000,2.220,255,0,0,0,0
1671026698826,0,2554095,4,9.387,0.000,2.220,255,0,0,0,0
T2022_12_14__140459_126,user,1,C:\Users\vd_sa\Documents\KuLeuven\Master\thesis\Navigation\map_2022_12_14__1404_autosave.ini
T2022_12_14__140825_432,user,1,C:\Users\vd_sa\Documents\KuLeuven\Master\thesis\Navigation\map_2022_12_14__1408_autosave.ini
1671026909645,210819,2764914,4,9.387,0.000,2.220,255,0,0,0,0
1671026909645,0,2764914,1,9.387,-3.685,2.220,255,0,0,0,0
1671026909645,0,2764914,2,0.000,-3.685,2.220,255,0,0,0,0
1671026909645,0,2764914,3,0.001,0.000,2.220,255,0,0,0,0
