1671027417863,53,3273132,5,4.012,-3.556,1.457,1,4.703,2,4.197,3,5.517,4,5.893,255,0,0,0,0
1671027417881,18,3273150,5,4.012,-3.556,1.457,1,4.703,2,4.197,3,5.517,4,5.893,255,0,0,0,0
1671027417949,68,3273218,5,4.012,-3.556,1.457,1,4.703,2,4.197,3,5.517,4,5.893,255,0,0,0,0
1671027418048,99,3273317,5,4.012,-3.556,1.457,1,4.703,2,4.197,3,5.517,4,5.893,255,0,0,0,0
1671027418109,61,3273378,5,4.012,-3.556,1.457,1,4.703,2,4.211,3,5.506,4,5.893,255,0,0,0,0
1671027418110,1,3273379,5,4.012,-3.556,1.457,1,4.703,2,4.211,3,5.506,4,5.893,255,0,0,0,0
1671027418125,15,3273394,5,4.012,-3.556,1.457,1,4.703,2,4.205,3,5.509,4,5.890,255,0,0,0,0
1671027418218,93,3273487,5,4.012,-3.556,1.457,1,4.703,2,4.205,3,5.509,4,5.890,255,0,0,0,0
1671027418249,31,3273518,5,4.012,-3.556,1.457,1,4.703,2,4.214,3,5.509,4,5.893,255,0,0,0,0
1671027418278,29,3273547,5,4.012,-3.556,1.457,1,4.703,2,4.214,3,5.509,4,5.893,255,0,0,0,0
1671027418408,130,3273677,5,4.012,-3.556,1.457,1,4.703,2,4.214,3,5.509,4,5.893,255,0,0,0,0
1671027418410,2,3273679,5,4.012,-3.556,1.457,1,4.703,2,4.214,3,5.509,4,5.893,255,0,0,0,0
1671027418466,56,3273735,5,4.012,-3.556,1.457,1,4.703,2,4.202,3,5.509,4,5.890,255,0,0,0,0
1671027418542,76,3273811,5,4.012,-3.556,1.457,1,4.703,2,4.189,3,5.509,4,5.890,255,0,0,0,0
1671027418651,109,3273920,5,4.012,-3.556,1.457,1,4.703,2,4.189,3,5.509,4,5.890,255,0,0,0,0
1671027418680,29,3273949,5,4.012,-3.556,1.457,1,4.703,2,4.191,3,5.509,4,5.893,255,0,0,0,0
