2022_12_13__143430_685,023942,v7.000 Super-Beacon
2022_12_13__143442_688,0F4222,v7.000 Modem HW v4.9
2022_12_13__143947_183,0F4222,v7.306 Modem HW v4.9
2022_12_13__145836_184,022038,v7.306 Super-Beacon
2022_12_13__150254_182,02385C,v7.306 Super-Beacon
2022_12_13__150615_182,021A4C,v7.306 Super-Beacon
2022_12_13__150920_183,092A2A,v7.306 Super-Beacon
2022_12_13__151008_204,023942,v7.000 Super-Beacon
2022_12_13__151237_182,023942,v7.306 Super-Beacon
2022_12_13__151342_185,0F4222,v7.306 Modem HW v4.9
2022_12_13__151428_183,0F4222,v7.306 Modem HW v4.9
2022_12_13__151538_184,0F4222,v7.306 Modem HW v4.9
2022_12_13__151821_185,0F4222,v7.306 Modem HW v4.9
2022_12_13__151939_183,0F4222,v7.306 Modem HW v4.9
2022_12_13__152130_327,023942,v7.306 Super-Beacon
2022_12_13__152338_200,0F4222,v7.306 Modem HW v4.9
2022_12_13__152706_196,0F4222,v7.306 Modem HW v4.9
2022_12_13__153348_199,022038,v7.306 Super-Beacon
2022_12_13__153408_197,0F4222,v7.306 Modem HW v4.9
2022_12_13__153821_201,0F4222,v7.306 Modem HW v4.9
2022_12_13__154741_525,022038,v7.306 Super-Beacon
2022_12_13__154753_525,0F4222,v7.306 Modem HW v4.9
2022_12_13__155742_528,0F4222,v7.306 Modem HW v4.9
2022_12_13__155848_528,022038,v7.306 Super-Beacon
2022_12_13__160030_528,022038,v7.306 Super-Beacon
2022_12_13__160050_527,0F4222,v7.306 Modem HW v4.9
2022_12_13__160134_529,022038,v7.306 Super-Beacon
2022_12_13__160147_553,0F4222,v7.306 Modem HW v4.9
2022_12_13__160545_528,021A4C,v7.306 Super-Beacon
2022_12_13__160612_525,0F4222,v7.306 Modem HW v4.9
2022_12_13__160823_526,092A2A,v7.306 Super-Beacon
2022_12_13__160842_527,092A2A,v7.306 Super-Beacon
2022_12_13__160849_526,0F4222,v7.306 Modem HW v4.9
2022_12_13__161017_526,02385C,v7.306 Super-Beacon
2022_12_13__161038_526,0F4222,v7.306 Modem HW v4.9
2022_12_13__164452_527,0F4222,v7.306 Modem HW v4.9
2022_12_13__165914_527,0F4222,v7.306 Modem HW v4.9
2022_12_14__132922_227,0F4222,v7.306 Modem HW v4.9
2022_12_14__132942_717,0F4222,v7.306 Modem HW v4.9
2022_12_14__140444_716,0F4222,v7.306 Modem HW v4.9
2022_12_14__141302_215,0F4222,v7.306 Modem HW v4.9
2022_12_14__141329_715,0F4222,v7.306 Modem HW v4.9
2022_12_14__142019_717,0F4222,v7.306 Modem HW v4.9
2022_12_14__145738_717,023942,v7.306 Super-Beacon
2022_12_14__150742_714,0F4222,v7.306 Modem HW v4.9
2022_12_14__152106_715,0F4222,v7.306 Modem HW v4.9
2022_12_14__152249_713,0F4222,v7.306 Modem HW v4.9
2022_12_16__100352_773,0F4222,v7.306 Modem HW v4.9
2022_12_16__104742_270,0F4222,v7.306 Modem HW v4.9
2022_12_16__104819_271,0F4222,v7.306 Modem HW v4.9
2022_12_16__105342_273,023942,v7.306 Super-Beacon
2022_12_16__105359_269,023942,v7.306 Super-Beacon
2022_12_16__105427_271,023942,v7.306 Super-Beacon
2022_12_16__105452_271,022038,v7.306 Super-Beacon
2022_12_16__105719_272,022038,v7.306 Super-Beacon
2022_12_16__105803_271,022038,v7.306 Super-Beacon
2022_12_16__105810_269,022038,v7.306 Super-Beacon
2022_12_16__105845_273,021A4C,v7.306 Super-Beacon
2022_12_16__110049_271,021A4C,v7.306 Super-Beacon
2022_12_16__110058_270,021A4C,v7.306 Super-Beacon
2022_12_16__110106_272,021A4C,v7.306 Super-Beacon
2022_12_16__110121_270,092A2A,v7.306 Super-Beacon
2022_12_16__110331_280,092A2A,v7.306 Super-Beacon
2022_12_16__110351_269,092A2A,v7.306 Super-Beacon
2022_12_16__110404_271,092A2A,v7.306 Super-Beacon
2022_12_16__111554_285,02385C,v7.306 Super-Beacon
2022_12_16__111603_286,02385C,v7.306 Super-Beacon
2022_12_16__111654_288,0F4222,v7.306 Modem HW v4.9
2022_12_16__125154_613,023942,v7.306 Super-Beacon
2022_12_16__125238_614,023942,v7.306 Super-Beacon
2022_12_16__125246_616,023942,v7.306 Super-Beacon
2022_12_16__125319_613,023942,v7.306 Super-Beacon
2022_12_16__125344_613,023942,v7.306 Super-Beacon
2022_12_16__125356_614,023942,v7.306 Super-Beacon
2022_12_16__130143_003,023942,v7.306 Super-Beacon
2022_12_16__130153_004,023942,v7.306 Super-Beacon
2022_12_16__130211_005,023942,v7.306 Super-Beacon
2022_12_16__131611_022,134652,v6.240 Super-Beacon
2022_12_16__131654_025,0F4222,v7.306 Modem HW v4.9
2022_12_16__131735_032,0F4222,v7.306 Modem HW v4.9
2022_12_16__132032_522,134652,v7.306 Super-Beacon
2022_12_16__132040_519,134652,v7.306 Super-Beacon
2022_12_16__132050_524,134652,v7.306 Super-Beacon
2022_12_16__132224_523,134652,v7.306 Super-Beacon
2022_12_16__132247_518,0F4222,v7.306 Modem HW v4.9
2022_12_16__133147_520,0F4222,v7.306 Modem HW v4.9
2022_12_16__145850_446,0F4222,v7.306 Modem HW v4.9
2022_12_16__152627_647,134652,v7.306 Super-Beacon
2022_12_19__131352_127,134652,v7.306 Super-Beacon
2022_12_19__131359_134,134652,v7.306 Super-Beacon
2022_12_19__135104_971,0F4222,v7.306 Modem HW v4.9
2022_12_19__140156_054,0F4222,v7.306 Modem HW v4.9
2022_12_19__145633_076,0F4222,v7.306 Modem HW v4.9
2022_12_19__145833_671,0F4222,v7.306 Modem HW v4.9
2022_12_19__150519_670,0F4222,v7.306 Modem HW v4.9
2022_12_19__150907_673,134652,v7.306 Super-Beacon
2022_12_19__150915_675,0F4222,v7.306 Modem HW v4.9
2022_12_19__154037_940,0F4222,v7.306 Modem HW v4.9
2022_12_19__154253_921,0F4222,v7.306 Modem HW v4.9
2022_12_19__154442_938,023942,v7.306 Super-Beacon
2022_12_19__154456_921,023942,v7.306 Super-Beacon
2022_12_19__154508_921,023942,v7.306 Super-Beacon
2022_12_19__154525_923,0F4222,v7.306 Modem HW v4.9
2022_12_19__154625_925,023942,v7.306 Super-Beacon
2022_12_19__154640_920,0F4222,v7.306 Modem HW v4.9
2022_12_19__155020_154,023942,v7.306 Super-Beacon
2022_12_19__155042_156,0F4222,v7.306 Modem HW v4.9
2022_12_19__155528_155,023942,v7.306 Super-Beacon
2022_12_19__155554_152,0F4222,v7.306 Modem HW v4.9
2022_12_19__160115_154,023942,v7.306 Super-Beacon
